ID,WAVE,WEIGHT1,score,mc,male,income,fa_edu,mo_edu,par_satis,health,aft_sch,aft_sch1,presch,care,abuse,sch_study,friend,teacher,wave3,wave4,wave5,wave6,wave7
15301,2,427.2970207396529,3.6666666666666665,0.0,1.0,1.8,3.0,3.0,2.0,3.0,1.0,1.0,1.0,3.75,2.25,3.0,3.0,3.75,0,0,0,0,0
15302,2,485.83100941316303,4.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,6.0,1.0,0.0,3.75,2.25,2.6666666666666665,3.0,3.5,0,0,0,0,0
15303,2,427.2970207396529,3.6666666666666665,0.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,3.5,3.25,4.0,3.4,4.0,0,0,0,0,0
15304,2,485.83100941316303,5.0,1.0,0.0,4.5,2.0,2.0,3.0,4.0,4.0,1.0,1.0,4.0,1.75,4.0,3.0,4.0,0,0,0,0,0
15305,2,427.2970207396529,4.666666666666667,0.0,1.0,8.5,4.0,4.0,3.0,3.0,1.3333333333333333,1.0,1.0,4.0,2.5,3.6666666666666665,2.6,4.0,0,0,0,0,0
15306,2,485.83100941316303,3.6666666666666665,0.0,0.0,5.0,4.0,3.0,3.0,3.0,0.0,1.0,0.0,4.0,4.0,3.0,2.6,4.0,0,0,0,0,0
15308,2,427.2970207396529,3.0,0.0,1.0,2.5,2.0,2.0,3.0,3.0,0.0,1.0,1.0,3.25,2.5,2.6666666666666665,2.2,3.0,0,0,0,0,0
15309,2,427.2970207396529,4.0,0.0,1.0,0.0,2.0,2.0,3.0,4.0,2.333333333333333,1.0,1.0,4.0,3.25,4.0,3.0,3.75,0,0,0,0,0
15310,2,427.2970207396529,3.0,0.0,1.0,4.5,4.0,4.0,2.0,3.0,1.0,1.0,0.0,2.75,1.75,3.0,3.0,3.25,0,0,0,0,0
15312,2,427.2970207396529,3.6666666666666665,0.0,1.0,4.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,1.8,2.5,0,0,0,0,0
15313,2,485.83100941316303,4.333333333333333,0.0,0.0,1.8,4.0,3.0,3.0,3.0,0.0,1.0,1.0,3.75,2.5,3.6666666666666665,2.8,3.5,0,0,0,0,0
15314,2,485.83100941316303,3.0,1.0,0.0,2.4,2.0,2.0,3.0,4.0,1.3333333333333333,1.0,0.0,2.75,1.5,3.0,3.0,3.25,0,0,0,0,0
15316,2,427.2970207396529,4.333333333333333,0.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,0.0,3.25,2.25,2.6666666666666665,3.4,3.0,0,0,0,0,0
15317,2,485.83100941316303,4.666666666666667,0.0,0.0,1.8,4.0,2.0,4.0,3.0,0.6666666666666666,1.0,1.0,3.75,2.25,3.6666666666666665,2.8,3.75,0,0,0,0,0
15318,2,427.2970207396529,4.0,0.0,1.0,4.5,4.0,5.0,3.0,3.0,0.7777777777777778,1.0,1.0,3.25,2.25,3.3333333333333335,2.8,3.25,0,0,0,0,0
15319,2,485.83100941316303,3.6666666666666665,0.0,0.0,2.4,2.0,2.0,3.0,4.0,0.0,1.0,1.0,4.0,2.0,2.6666666666666665,2.6,3.5,0,0,0,0,0
