ID,WAVE,WEIGHT1,score,mc,male,income,fa_edu,mo_edu,par_satis,health,aft_sch,aft_sch1,care,abuse,sch_study,friend,teacher,wave2,wave3,wave4,wave5,wave6,wave7
15202,2,418.65859053114656,3.4,0.0,0.0,3.6,2.0,2.0,3.0,3.0,0.0,0.0,3.75,1.25,3.3333333333333335,3.2,3.25,1,0,0,0,0,0
15203,2,428.97611534520667,5.0,0.0,1.0,5.0,4.0,4.0,3.0,4.0,0.0,1.0,4.0,2.0,4.0,3.4,4.0,1,0,0,0,0,0
15204,2,418.65859053114656,3.0,0.0,0.0,5.0,4.0,4.0,3.0,3.0,0.6666666666666666,1.0,3.5,1.5,3.3333333333333335,2.8,3.0,1,0,0,0,0,0
15205,2,428.97611534520667,3.8,0.0,1.0,10.0,4.0,4.0,3.0,3.0,0.6666666666666666,1.0,2.75,1.0,3.3333333333333335,2.6,3.0,1,0,0,0,0,0
15206,2,418.65859053114656,3.6,0.0,0.0,3.6,4.0,2.0,3.0,3.0,1.0,1.0,3.5,1.5,3.6666666666666665,3.2,3.0,1,0,0,0,0,0
15208,2,428.97611534520667,5.0,0.0,1.0,20.0,3.0,3.0,3.0,4.0,0.0,1.0,3.0,2.0,3.0,3.0,3.0,1,0,0,0,0,0
15209,2,428.97611534520667,3.0,1.0,1.0,3.6,1.0,1.0,2.0,3.0,1.6666666666666665,1.0,3.0,2.25,2.6666666666666665,2.4,3.0,1,0,0,0,0,0
15212,2,418.65859053114656,2.4,0.0,0.0,4.8,2.0,2.0,3.0,4.0,1.6666666666666665,1.0,4.0,1.25,3.3333333333333335,2.8,3.75,1,0,0,0,0,0
15213,2,428.97611534520667,3.8,0.0,1.0,6.0,4.0,4.0,3.0,3.0,2.0,1.0,3.5,2.0,4.0,4.0,4.0,1,0,0,0,0,0
15217,2,428.97611534520667,3.4,0.0,1.0,7.0,2.0,2.0,3.0,3.0,0.0,1.0,4.0,2.0,3.3333333333333335,2.6,2.75,1,0,0,0,0,0
15218,2,418.65859053114656,3.0,0.0,0.0,3.6,1.0,1.0,3.0,3.0,1.0,1.0,3.25,1.25,4.0,2.8,4.0,1,0,0,0,0,0
