ID,WAVE,WEIGHT1,score,mc,male,income,fa_edu,mo_edu,par_satis,health,aft_sch,aft_sch1,care,abuse,sch_study,friend,teacher,wave3,wave4,wave5,wave6
14201,2,1203.4153925389726,1.0,0.0,1.0,4.0,4.0,2.0,3.0,3.0,2.6666666666666665,1.0,2.5,2.75,1.3333333333333333,2.0,2.75,0,0,0,0
14203,2,862.9976627427873,3.8,0.0,0.0,5.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,1.75,3.6666666666666665,3.0,3.0,0,0,0,0
14205,2,862.9976627427873,2.2,0.0,0.0,5.0,3.0,4.0,3.0,4.0,2.3333333333333335,1.0,2.75,2.25,4.0,3.4,4.0,0,0,0,0
14206,2,1203.4153925389726,3.6,0.0,1.0,2.7,4.0,5.0,4.0,3.0,2.6666666666666665,1.0,4.0,1.5,4.0,3.0,3.25,0,0,0,0
14207,2,1203.4153925389726,3.0,0.0,1.0,10.0,5.0,3.0,3.0,4.0,2.6666666666666665,1.0,2.25,2.25,2.6666666666666665,2.2,2.75,0,0,0,0
14208,2,1203.4153925389726,2.8,0.0,1.0,5.5,4.0,4.0,3.0,4.0,3.333333333333333,1.0,1.0,1.0,2.6666666666666665,2.6,2.25,0,0,0,0
14209,2,1203.4153925389726,3.6,0.0,1.0,6.0,4.0,2.0,3.0,3.0,3.6111111111111107,1.0,3.5,1.75,3.0,3.0,3.75,0,0,0,0
14210,2,862.9976627427873,4.0,0.0,0.0,9.0,3.0,2.0,3.0,3.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,0,0,0,0
14211,2,1203.4153925389726,4.0,0.0,1.0,6.0,5.0,4.0,3.0,4.0,2.0,1.0,4.0,4.0,3.0,3.0,3.0,0,0,0,0
14212,2,862.9976627427873,3.6,0.0,0.0,7.5,4.0,2.0,3.0,3.0,2.0,1.0,4.0,1.5,3.3333333333333335,3.4,3.75,0,0,0,0
14213,2,1203.4153925389726,4.6,0.0,1.0,7.0,4.0,4.0,3.0,4.0,3.0,1.0,3.25,1.25,3.0,2.8,3.0,0,0,0,0
14214,2,862.9976627427873,3.0,0.0,0.0,2.5,4.0,4.0,3.0,3.0,1.0,1.0,3.25,1.25,2.6666666666666665,3.2,3.25,0,0,0,0
14215,2,862.9976627427873,2.6,0.0,0.0,15.0,4.0,2.0,4.0,3.0,2.6666666666666665,1.0,2.5,1.5,3.0,3.6,3.25,0,0,0,0
14301,2,580.9591550188138,3.2,0.0,1.0,1.0,2.0,2.0,3.0,1.0,1.3333333333333333,1.0,3.75,1.25,3.0,3.2,4.0,0,0,0,0
14302,2,416.6195613241038,1.0,0.0,0.0,4.0,4.0,4.0,3.0,3.0,0.0,0.0,4.0,2.0,1.6666666666666667,2.2,4.0,0,0,0,0
14303,2,416.6195613241038,2.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,6.0,1.0,3.0,2.0,2.3333333333333335,2.2,2.25,0,0,0,0
14305,2,580.9591550188138,3.0,0.0,1.0,1.0,4.0,4.0,3.0,4.0,2.6666666666666665,1.0,2.5,3.0,2.3333333333333335,2.6,2.75,0,0,0,0
14309,2,580.9591550188138,4.4,0.0,1.0,4.8,4.0,2.0,3.0,3.0,2.6666666666666665,1.0,3.0,1.25,3.3333333333333335,3.8,4.0,0,0,0,0
14310,2,416.6195613241038,2.0,0.0,0.0,3.0,5.0,4.0,3.0,2.0,1.0,1.0,2.5,2.25,2.3333333333333335,1.6,2.75,0,0,0,0
14311,2,416.6195613241038,3.0,0.0,0.0,3.5,4.0,2.0,3.0,2.0,1.3333333333333333,1.0,3.75,1.0,3.3333333333333335,3.2,3.25,0,0,0,0
14313,2,580.9591550188138,4.0,0.0,1.0,6.0,4.0,4.0,3.0,3.0,3.0,1.0,3.25,1.25,3.0,3.6,3.25,0,0,0,0
14314,2,580.9591550188138,3.0,0.0,1.0,12.0,4.0,4.0,3.0,1.0,3.1111111111111107,1.0,3.25,2.0,3.3333333333333335,2.8,3.75,0,0,0,0
14315,2,416.6195613241038,3.8,0.0,0.0,6.0,4.0,4.0,3.0,3.0,4.0,1.0,3.25,1.0,3.0,3.4,3.25,0,0,0,0
14318,2,580.9591550188138,3.4,0.0,1.0,5.0,3.0,2.0,2.0,3.0,1.6666666666666665,1.0,3.25,2.0,3.0,3.2,3.25,0,0,0,0
14319,2,416.6195613241038,4.0,0.0,0.0,6.0,5.0,5.0,3.0,4.0,3.0,1.0,4.0,1.5,3.0,3.4,3.0,0,0,0,0
14320,2,580.9591550188138,3.8,0.0,1.0,4.0,4.0,2.0,3.0,4.0,2.0,1.0,3.25,2.0,3.6666666666666665,3.2,4.0,0,0,0,0
14321,2,416.6195613241038,3.8,0.0,0.0,6.0,4.0,3.0,3.0,3.0,1.8333333333333333,1.0,3.0,1.75,3.6666666666666665,3.2,2.5,0,0,0,0
14322,2,580.9591550188138,5.0,0.0,1.0,5.0,4.0,4.0,3.0,3.0,3.9999999999999996,1.0,3.0,1.75,3.0,2.8,2.75,0,0,0,0
14323,2,580.9591550188138,4.8,0.0,1.0,8.0,4.0,4.0,3.0,4.0,3.333333333333333,1.0,3.5,3.5,4.0,3.4,4.0,0,0,0,0
14324,2,416.6195613241038,2.8,0.0,0.0,8.0,2.0,2.0,3.0,3.0,2.6666666666666665,1.0,2.25,1.25,2.3333333333333335,3.4,2.25,0,0,0,0
14325,2,580.9591550188138,1.6,0.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,4.0,3.4,4.0,0,0,0,0
14326,2,416.6195613241038,1.6,0.0,0.0,2.0,4.0,4.0,3.0,2.0,1.5555555555555554,1.0,4.0,2.5,3.6666666666666665,3.4,4.0,0,0,0,0
14327,2,580.9591550188138,2.0,0.0,1.0,6.0,2.0,2.0,3.0,4.0,2.0,1.0,3.5,3.5,2.0,3.2,3.25,0,0,0,0
14330,2,580.9591550188138,2.6,0.0,1.0,9.0,4.0,4.0,3.0,4.0,0.6666666666666666,1.0,3.25,1.5,3.3333333333333335,2.4,4.0,0,0,0,0
14331,2,416.6195613241038,3.4,0.0,0.0,6.0,4.0,4.0,3.0,3.0,0.8888888888888888,1.0,3.5,2.0,3.0,2.6,3.0,0,0,0,0
14401,2,526.4942342357992,1.0,0.0,1.0,10.0,4.0,4.0,3.0,4.0,2.5,1.0,4.0,2.0,1.0,2.8,2.5,0,0,0,0
14402,2,377.5614774499696,2.6,0.0,0.0,2.4,4.0,4.0,4.0,4.0,3.333333333333333,1.0,2.75,2.0,3.0,2.8,3.0,0,0,0,0
14403,2,526.4942342357992,4.0,0.0,1.0,5.0,4.0,2.0,3.0,3.0,3.333333333333333,1.0,2.25,2.0,2.3333333333333335,3.4,3.25,0,0,0,0
14405,2,526.4942342357992,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,3.5,3.5,3.3333333333333335,3.0,3.75,0,0,0,0
14406,2,526.4942342357992,4.0,0.0,1.0,7.0,4.0,4.0,3.0,4.0,2.6666666666666665,1.0,3.0,3.0,3.3333333333333335,2.8,3.25,0,0,0,0
14408,2,526.4942342357992,3.0,0.0,1.0,10.0,4.0,4.0,3.0,3.0,0.0,1.0,3.0,2.0,3.0,3.0,3.0,0,0,0,0
14411,2,526.4942342357992,4.6,0.0,1.0,4.8,4.0,2.0,4.0,4.0,5.333333333333333,1.0,3.0,2.0,3.0,3.8,4.0,0,0,0,0
14415,2,526.4942342357992,3.2,0.0,1.0,4.8,2.0,2.0,3.0,4.0,2.5,1.0,3.25,3.0,3.0,3.2,3.25,0,0,0,0
14416,2,526.4942342357992,3.2,0.0,1.0,20.0,4.0,4.0,4.0,3.0,0.0,1.0,2.5,2.5,2.3333333333333335,2.4,2.5,0,0,0,0
14417,2,526.4942342357992,1.8,0.0,1.0,10.0,4.0,5.0,4.0,4.0,1.3333333333333333,1.0,2.5,1.25,2.6666666666666665,3.2,3.25,0,0,0,0
14418,2,377.5614774499696,4.0,0.0,0.0,6.0,4.0,4.0,3.0,4.0,4.333333333333333,1.0,3.75,2.25,3.3333333333333335,3.2,4.0,0,0,0,0
14419,2,526.4942342357992,3.4,0.0,1.0,6.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.6666666666666665,3.2,3.25,0,0,0,0
14423,2,377.5614774499696,4.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,0,0,0,0
