"조사연도","MD제공용_가구고유번호","조사부문코드","가중값","가중값(금융부문)","가중값(복지부문)","수도권여부","가구주_성별코드","가구원수","노인가구여부","조손가구여부","한부모가구여부","다문화가구여부(2012년~)","장애인가구여부(2012년~)","가구주_교육정도_학력코드","가구주_교육정도_수학구분코드","가구주_교육정도_통합코드","가구주_동거여부","가구주_산업대분류코드","가구주_직업대분류코드","가구주_만연령","가구주연령_10세단위코드","가구주_종사상지위코드","가구주종사상지위코드(보도용)","가구주_혼인상태코드","입주형태코드","입주형태통합코드","과거기준입주형태통합코드","전용면적규모코드","주택종류통합코드","부채보유여부","소득5분위코드","소득5분위코드(금융부문)","소득5분위코드(복지부문)","소득10분위코드","소득계층구간코드(보도용)","자산총액5분위코드","자산총액5분위코드(금융부문)","자산총액5분위코드(복지부문)","자산총액10분위코드","순자산5분위코드","순자산5분위코드(금융부문)","순자산5분위코드(복지부문)","순자산10분위코드","자산","자산_금융자산","자산_금융자산_저축금액","자산_금융자산_저축_적립예치식저축금액","자산_금융자산_저축_적립예치식저축_수시적립예치식저축금액","자산_금융자산_저축_적립예치식저축_저축성보장성보험금액","자산_금융자산_저축_적립예치식저축_주식채권펀드금액","자산_금융자산_저축_기타저축금액","자산_금융자산_현거주지전월세보증금","자산_실물자산","자산_실물자산_부동산금액","자산_실물자산_부동산_거주주택금액","자산_실물자산_부동산_거주주택이외부동산금액","자산_실물자산_부동산_계약금중도금납입금액","자산_실물자산_기타실물자산","자산_실물자산_기타실물자산_자동차금액","자산_실물자산_기타실물자산_기타금액","자산_실물자산_기타실물자산_기타_자동차이외기타실물자산","자산_실물자산_기타실물자산_기타_권리금","부채","부채_금융부채","부채_금융부채_담보대출금액","부채_금융부채_담보대출_대출용도_거주주택구입금액","부채_금융부채_담보대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_담보대출_대출용도_전월세보증금마련금액","부채_금융부채_담보대출_대출용도_부채상환금액","부채_금융부채_담보대출_대출용도_사업자금마련금액","부채_금융부채_담보대출_대출용도_생활비마련금액","부채_금융부채_담보대출_대출용도_기타용도금액","부채_금융부채_담보대출_대출기관_은행금액(2010년은 농수협 중앙회 제외)","부채_금융부채_담보대출_대출기관_저축은행금액","부채_금융부채_담보대출_대출기관_비은행금융기관금액(2010년은 농수협중앙회 포함)","부채_금융부채_담보대출_대출기관_보험회사금액","부채_금융부채_담보대출_대출기관_기타기관금액","부채_금융부채_담보대출_상환방법_만기일시금액","부채_금융부채_담보대출_상환방법_원금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_담보대출_상환방법_기타상환방법금액","부채_금융부채_담보대출_담보형태_거주주택금액","부채_금융부채_담보대출_담보형태_거주주택이외부동산금액","부채_금융부채_담보대출_담보형태_예적금보험펀드채권금액","부채_금융부채_담보대출_담보형태_기타금액","부채_금융부채_담보대출_부동산담보대출금액","부채_금융부채_담보대출_부동산이외담보대출금액","부채_금융부채_신용대출금액","부채_금융부채_신용대출_대출용도_거주주택구입금액","부채_금융부채_신용대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_신용대출_대출용도_전월세보증금마련금액","부채_금융부채_신용대출_대출용도_부채상환금액","부채_금융부채_신용대출_대출용도_사업자금마련금액","부채_금융부채_신용대출_대출용도_생활비마련금액","부채_금융부채_신용대출_대출용도_기타용도금액","부채_금융부채_신용대출_대출기관_은행금액(2010년은 농수협 중앙회 제외)","부채_금융부채_신용대출_대출기관_저축은행금액","부채_금융부채_신용대출_대출기관_비은행금융기관금액(2010년은 농수협중앙회 포함)","부채_금융부채_신용대출_대출기관_보험회사금액","부채_금융부채_신용대출_대출기관_기타기관금액","부채_금융부채_신용대출_상환방법_만기일시금액","부채_금융부채_신용대출_상환방법_원금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_신용대출_상환방법_기타상환방법금액","부채_금융부채_신용대출_대출종류_신용대출금액","부채_금융부채_신용대출_대출종류_마이너스통장금액","부채_금융부채_신용카드관련대출금액","부채_금융부채_외상할부미상환금액","부채_금융부채_계탄후불입금액","부채_임대보증금","원리금상환금액","원리금상환_원금상환금액","원리금상환_이자지급금액","순자산","경상소득(조사)","경상소득_근로소득(조사)","경상소득_사업소득(조사)","경상소득_재산소득(조사)","경상소득_공적이전소득(조사)","경상소득_사적이전소득(조사)[가구간이전소득+비영리단체이전소득]","경상소득_이전소득(조사)[공적이전소득+사적이전소득]","처분가능소득(조사)[경상소득-비소비지출]","지출(조사)[비소비지출(조사)+소비지출(조사)](2012~2018년: 복지, 2019년~:공통)","지출_비소비지출(조사)","지출_비소비지출_세금(조사)","지출_비소비지출_공적연금사회보험료(조사)","지출_비소비지출_가구간이전지출(조사)","지출_비소비지출_비영리단체이전지출(조사)","지출_비소비지출_연간지급이자(조사)","지출_소비지출비","지출_소비지출_식료품(외식비포함)","지출_소비지출_주거비","지출_소비지출_교육비(보육료포함)","지출_소비지출_의료비","지출_소비지출_교통비","지출_소비지출_통신비","지출_소비지출_경조비및기타소비지출(2016년까지)","지출_소비지출_경조비(2016년까지)","지출_소비지출_기타소비지출비","분배6차_균등화처분가능소득(조사)","여유자금운용계획코드","금융자산투자주목적코드","금융자산투자운용방법코드","금융자산투자고려사항코드","거주지주택가격전망코드","여유자금부동산투자여부","부동산투자주목적코드","투자선호부동산코드","부동산투자기피사유코드","1년후금융부채규모전망코드","부채증가원인코드","부채상환방법코드","1년전대비부채증감코드","원리금연체여부","원리금연체사유코드","원리금상환_생계부담정도코드","30일이상원리금연체여부","원리금상환_생계부담_소득대비상환액비중","원리금상환_가계지출감소여부","원리금상환_가계지출감소항목코드","부채상환가능시기코드","가구주_은퇴여부","가구주_미은퇴_은퇴연령","가구주_미은퇴_최소생활비","가구주_미은퇴_적정생활비","가구주_미은퇴_노후준비상황코드","가구주_은퇴_은퇴연령","가구주_은퇴_적정생활비충당여부","가구주은퇴_생활비재원마련코드(2014년~)","1년후소득변화코드(2011~2016년)","1년후지출변화코드(2012~2016년)"
2016,010200111,F,1617.97881640341,3233.55203587459,,G1,1,4,G2,G2,G2,G2,G2,4,1,G3,2,G,5,49,G3,3,G3,2,1,G1,G1,G2,G3,G1,Q5,Q5,,D09,G5,Q5,Q5,,D09,Q5,Q5,,D09,76202,9102,9102,9102,1500,7602,0,0,0,67100,62000,50000,12000,0,5100,5000,100,100,0,22200,16200,15000,15000,0,0,0,0,0,0,15000,0,0,0,0,0,0,15000,0,0,15000,0,0,0,15000,0,1200,0,0,0,0,1200,0,0,0,0,1200,0,0,0,0,0,0,1200,1200,0,0,0,0,6000,13232,12800,432,54002,9000,4000,5000,0,0,0,0,5860,3140,3140,630,698,1200,180,432,0,0,0,0,0,0,0,0,0,0,3997,1,2,1,2,3,1,3,4,,1,,1,1,2,,1,,30,,,1,,,0,0,,,,,,
2016,010200121,F,1909.51998995503,3816.20092207858,,G1,1,4,G2,G2,G2,G2,G2,6,1,G4,2,R,2,45,G3,1,G1,1,1,G1,G1,G4,G1,G1,Q3,Q3,,D05,G3,Q5,Q5,,D10,Q5,Q5,,D10,116466,16412,16412,3412,1900,1512,0,13000,0,100054,100000,100000,0,0,54,0,54,54,0,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000,20,20,0,71466,3216,3000,0,0,216,0,216,2766,450,450,199,251,0,0,0,0,0,0,0,0,0,0,0,0,0,1474,1,2,1,2,2,1,3,3,,2,,,,,,,,,,,,,,0,0,,,,,,
2016,010200151,P,1866.50493151871,,3735.78909859489,G1,2,3,G2,G2,G2,G2,G2,6,1,G4,2,P,3,53,G4,1,G1,2,1,G1,G1,G3,G2,G1,Q5,,Q5,D10,G6,Q5,,Q5,D10,Q5,,Q5,D10,125360,69560,69560,64560,43220,11340,10000,5000,0,55800,53000,53000,0,0,2800,2800,0,0,0,8000,8000,8000,8000,0,0,0,0,0,0,,,,,,0,0,0,0,0,8000,0,0,0,8000,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,1190,1000,190,117360,12600,12600,0,0,0,0,0,10704,5326,1896,981,725,0,0,190,3430,800,390,0,200,430,310,1300,300,1000,6394,,,,,,,,,,,,,,,,,,,,,,1,60,300,300,3,0,,,3,2
2016,010200161,P,1355.02749017567,,2736.04235375925,G1,1,5,G2,G2,G2,G2,G2,5,1,G4,2,I,1,46,G3,3,G3,2,1,G1,G1,G2,G2,G1,Q3,,Q3,D06,G3,Q5,,Q5,D09,Q5,,Q5,D09,79406,14556,14556,6656,5680,976,0,7900,0,64850,58000,43000,15000,0,6850,600,6250,2250,4000,25500,25500,23500,23500,0,0,0,0,0,0,,,,,,0,0,0,0,0,23500,0,0,0,23500,0,2000,0,0,0,0,0,2000,0,,,,,,0,0,0,0,0,,,0,0,0,0,2367,1500,867,53906,4560,0,4200,0,360,0,360,2971,4765,1589,86,636,0,0,867,3176,1200,240,960,36,120,240,380,20,360,1750,,,,,,,,,,,,,,,,,,,,,,1,70,250,300,4,0,,,3,3
2016,010200171,P,1740.44309169636,,3483.47771221459,G1,1,2,G2,G2,G2,G2,G2,6,1,G4,2,K,2,36,G2,1,G1,2,1,G1,G1,G2,G2,G1,Q5,,Q5,D10,G6,Q4,,Q4,D08,Q3,,Q3,D06,45600,200,200,200,200,0,0,0,0,45400,45000,45000,0,0,400,0,400,400,0,27800,27800,23800,23800,0,0,0,0,0,0,,,,,,0,0,0,0,0,23800,0,0,0,23800,0,4000,3500,0,0,0,0,500,0,,,,,,0,0,0,0,0,,,0,0,0,0,23090,22000,1090,17800,12420,12420,0,0,0,0,0,9661,5664,2759,515,818,200,136,1090,2905,1060,190,0,35,700,120,800,200,600,7876,,,,,,,,,,,,,,,,,,,,,,1,60,200,300,5,0,,,3,3
2016,010200191,P,1135.77096693035,,2273.23310274171,G1,2,1,G1,G2,G2,G2,G2,1,,G1,1,O,9,80,G5,2,G2,3,3,G3,G2,G1,G1,G2,Q1,,Q1,D01,G1,Q2,,Q2,D03,Q2,,Q2,D03,5355,5355,355,355,355,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,5355,612,160,0,0,252,200,452,603,601,9,1,0,0,8,0,592,225,189,0,92,10,36,40,10,30,612,,,,,,,,,,,,,,,,,,,,,,1,85,60,120,4,0,,,1,3
2016,010200211,P,785.037696200062,,1558.59548754258,G2,1,4,G2,G2,G2,G2,G2,5,1,G4,2,G,5,57,G4,4,G3,2,1,G1,G1,G2,G3,G1,Q5,,Q5,D10,G6,Q5,,Q5,D10,Q5,,Q5,D10,156100,44100,44100,40600,35140,5460,0,3500,0,112000,102000,22000,80000,0,10000,0,10000,5000,5000,15000,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,15000,3070,3000,70,141100,10800,0,7200,3600,0,0,0,9663,6333,1137,161,756,0,150,70,5196,720,230,3400,100,36,480,230,30,200,5002,,,,,,,,,,,,,,,,,,,,,,1,70,300,300,2,0,,,1,1
2016,010200231,P,1194.98431085761,,2372.49391156905,G2,2,2,G2,G2,G2,G2,G2,3,1,G2,2,,,69,G5,7,G4,3,4,G3,G3,G1,G1,G2,Q2,,Q2,D04,G2,Q1,,Q1,D01,Q1,,Q1,D01,218,218,218,218,62,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,218,2966,2160,0,0,566,240,806,2863,1225,103,1,82,10,10,0,1122,850,160,0,12,15,41,44,20,24,2039,,,,,,,,,,,,,,,,,,,,,,2,,,,,65,4,1,2,2
2016,010200241,P,1179.11285820823,,2340.98310055983,G2,1,5,G2,G2,G2,G2,G1,4,1,G3,2,C,7,54,G4,3,G3,2,1,G1,G1,G2,G2,G1,Q5,,Q5,D09,G5,Q3,,Q3,D05,Q2,,Q2,D04,20362,5142,5142,5142,630,4512,0,0,0,15220,15000,15000,0,0,220,220,0,0,0,9000,9000,9000,7500,0,0,0,0,0,1500,,,,,,0,0,0,0,0,9000,0,0,0,9000,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,410,50,360,11362,7880,2880,5000,0,0,0,0,7122,4468,758,87,301,0,10,360,3710,840,180,1150,240,600,360,340,100,240,3373,,,,,,,,,,,,,,,,,,,,,,1,70,200,300,4,0,,,1,2
2016,010200251,P,1015.56118236216,,2016.27142723818,G2,1,2,G2,G2,G2,G2,G2,3,1,G2,2,,,65,G5,7,G4,3,5,G4,G4,G2,G2,G2,Q5,,Q5,D09,G5,Q5,,Q5,D09,Q5,,Q5,D10,74310,630,630,630,270,360,0,0,0,73680,73500,0,73500,0,180,0,180,180,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,6400,6000,400,74310,7550,0,7000,0,550,0,550,6741,2344,809,119,230,0,60,400,1535,450,650,0,15,70,120,230,50,180,5162,,,,,,,,,,,,,,,,,,,,,,2,,,,,60,2,3,2,3
