"조사연도","MD제공용_가구고유번호","가중값","조사부문코드","수도권여부","가구주_성별코드","","가구원수","","노인가구여부","조손가구여부","한부모가구여부","다문화가구여부(2012년~)","장애인가구여부(2012년~)","가구주_교육정도_학력코드","가구주_교육정도_수학구분코드","가구주_교육정도_통합코드","가구주_동거여부","가구주_산업대분류코드","가구주_직업대분류코드","가구주_만연령","가구주연령_10세단위코드","가구주_종사상지위코드","가구주_종사상지위(보도용)","가구주_혼인상태코드","입주형태코드","입주형태통합코드","전용면적규모코드","주택종류통합코드","부채보유여부","과거기준입주형태통합코드","소득5분위코드(보완)","소득10분위코드(보완)(2017년~)","소득계층구간코드(보도용)(보완)","자산총액5분위코드","자산총액10분위코드","순자산5분위코드","소득5분위코드(금융부문)(보완)","순자산10분위코드","소득5분위코드(복지부문)(보완)","자산","자산_금융자산","자산_금융자산_저축금액","자산_금융자산_저축_적립예치식저축금액","","자산_금융자산_저축_적립예치식저축_수시적립예치식저축금액","","자산_금융자산_저축_적립예치식저축_저축성보장성보험금액","자산_금융자산_저축_적립예치식저축_주식채권펀드금액","자산_금융자산_저축_기타저축금액","","자산_금융자산_현거주지전월세보증금","","자산_실물자산","자산_실물자산_부동산금액","자산_실물자산_부동산_거주주택금액","자산_실물자산_부동산_거주주택이외부동산금액","자산_실물자산_부동산_계약금중도금납입금액","자산_실물자산_기타실물자산","자산_실물자산_기타실물자산_자동차금액","자산_실물자산_기타실물자산_기타금액","자산_실물자산_기타실물자산_기타_자동차이외기타실물자산","자산_실물자산_기타실물자산_기타_권리금","부채","부채_금융부채","부채_금융부채_담보대출금액","부채_금융부채_담보대출_대출용도_거주주택구입금액","부채_금융부채_담보대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_담보대출_대출용도_전월세보증금마련금액","부채_금융부채_담보대출_대출용도_부채상환금액","부채_금융부채_담보대출_대출용도_사업자금마련금액","부채_금융부채_담보대출_대출용도_생활비마련금액","부채_금융부채_담보대출_대출용도_기타용도금액","부채_금융부채_담보대출_대출기관_은행금액(2010년은 농수협 중앙회 제외)","부채_금융부채_담보대출_대출기관_저축은행금액","부채_금융부채_담보대출_대출기관_비은행금융기관금액(2010년은 농수협중앙회 포함)","부채_금융부채_담보대출_대출기관_보험회사금액","부채_금융부채_담보대출_대출기관_기타기관금액","부채_금융부채_담보대출_상환방법_만기일시금액","부채_금융부채_담보대출_상환방법_원금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_담보대출_상환방법_기타상환방법금액","부채_금융부채_담보대출_담보형태_거주주택금액","부채_금융부채_담보대출_담보형태_거주주택이외부동산금액","부채_금융부채_담보대출_담보형태_예적금보험펀드채권금액","부채_금융부채_담보대출_담보형태_기타금액","부채_금융부채_담보대출_부동산담보대출금액","부채_금융부채_담보대출_부동산이외담보대출금액","부채_금융부채_신용대출금액","부채_금융부채_신용대출_대출용도_거주주택구입금액","부채_금융부채_신용대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_신용대출_대출용도_전월세보증금마련금액","부채_금융부채_신용대출_대출용도_부채상환금액","부채_금융부채_신용대출_대출용도_사업자금마련금액","부채_금융부채_신용대출_대출용도_생활비마련금액","부채_금융부채_신용대출_대출용도_기타용도금액","부채_금융부채_신용대출_대출기관_은행금액(2010년은 농수협 중앙회 제외)","부채_금융부채_신용대출_대출기관_저축은행금액","부채_금융부채_신용대출_대출기관_비은행금융기관금액(2010년은 농수협중앙회 포함)","부채_금융부채_신용대출_대출기관_보험회사금액","부채_금융부채_신용대출_대출기관_기타기관금액","부채_금융부채_신용대출_상환방법_만기일시금액","부채_금융부채_신용대출_상환방법_원금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_신용대출_상환방법_기타상환방법금액","부채_금융부채_신용대출_대출종류_신용대출금액","부채_금융부채_신용대출_대출종류_마이너스통장금액","부채_금융부채_신용카드관련대출금액","부채_금융부채_외상할부미상환금액","부채_금융부채_계탄후불입금액","부채_금융부채_개인직장빌린금액(2017년~)","부채_임대보증금","원리금상환금액","원리금상환_원금상환금액","원리금상환_이자지급금액","순자산","경상소득(보완)","경상소득_근로소득(보완)","경상소득_사업소득(보완)","경상소득_재산소득(보완)","경상소득_공적이전소득(보완)","경상소득_사적이전소득(조사)","이전소득(보완)[공적이전소득(보완)+사적이전소득(조사)]","처분가능소득(보완)[경상소득(보완)-비소비지출(보완)]","지출_소비지출비","지출_소비지출_식료품(외식비포함)","지출_소비지출_주거비","지출_소비지출_교육비(보육료포함)","지출_소비지출_의료비","지출_소비지출_교통비","지출_소비지출_통신비","지출_소비지출_기타소비지출비","지출(보완)[비소비지출(보완)+소비지출(조사)](2012~2018년: 복지, 2019년~:공통)","지출_비소비지출(보완)","지출_비소비지출_세금(보완)","지출_비소비지출_공적연금사회보험료(보완)","지출_비소비지출_가구간이전지출(조사)","지출_비소비지출_비영리단체이전지출(조사)","지출_비소비지출_연간지급이자(조사)","여유자금운용계획코드","금융자산투자운용방법코드","금융자산투자고려사항코드","거주지주택가격전망코드","여유자금부동산투자여부","부동산투자주목적코드","투자선호부동산코드","부동산투자기피사유코드","1년후금융부채규모전망코드","부채증가원인코드","1년전대비부채증감코드","부채상환방법코드","금융자산투자주목적코드","원리금연체여부","원리금연체사유코드","30일이상원리금연체여부","원리금상환_생계부담정도코드","원리금상환_생계부담_소득대비상환액비중","원리금상환_가계지출감소여부","원리금상환_가계지출감소항목코드","부채상환가능시기코드","가구주_은퇴여부","가구주_미은퇴_은퇴연령","가구주_미은퇴_최소생활비","가구주_미은퇴_적정생활비","가구주_미은퇴_노후준비상황코드","가구주_은퇴_은퇴연령","가구주_은퇴_적정생활비충당여부","가구주은퇴_생활비재원마련코드(2014년~)"
2018,010200261,1127.90792346468,P,G2,1,,2,2255.11137161769,G1,G2,G2,G2,G1,4,1,G3,2,G,9,79,G5,2,G2,2,5,G4,G2,G1,G2,G4,Q1,D01,G1,Q1,D01,Q1,,D01,Q1,2,2,2,2,,2,Q1,0,0,0,,0,Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,723,140,0,1,442,140,582,722,662,240,200,0,120,12,40,50,663,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,80,60,150,4,,,
2018,010200371,2223.77506181041,P,G1,1,,4,4515.26711937757,G2,G2,G2,G2,G2,5,1,G4,2,G,7,55,G4,3,G3,2,1,G1,G2,G2,G1,G1,Q5,D10,G6,Q4,D08,Q5,,D09,Q5,59022,8082,8082,7082,,2850,Q4,4232,0,1000,,0,Q5,50940,50000,23000,27000,0,940,940,0,0,0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,500,0,500,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,8371,8100,271,58522,29619,1293,28000,326,0,0,0,27567,5345,780,300,2000,730,540,420,575,7397,2052,536,995,100,150,271,,,,,,,,,,,,,,,,,,,,,,1,70,150,200,4,,,
2018,010201191,701.090030536248,P,G1,1,,4,1423.93863160583,G2,G2,G2,G2,G2,6,1,G4,2,K,1,54,G4,1,G1,2,1,G1,G3,G2,G1,G1,Q5,D10,G6,Q5,D10,Q5,,D10,Q5,222550,6050,6050,6050,,350,Q5,5700,0,0,,0,Q5,216500,216000,80000,136000,0,500,500,0,0,0,121200,16200,15000,15000,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,15000,0,0,0,15000,0,1000,0,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0,1000,0,0,200,0,0,105000,3170,2200,970,101350,18180,15159,3000,21,0,0,0,12047,9200,600,500,4800,350,500,250,2200,15333,6133,2868,835,1100,360,970,,,,,,,,,,,,,,,,,,,,,,1,58,300,500,3,,,
2018,010201211,1140.45089948982,P,G2,2,,1,2280.18948950281,G1,G2,G2,G2,G2,1,,G1,1,,,83,G5,7,G4,3,2,G2,G2,G1,G2,G2,Q1,D01,G1,Q1,D02,Q1,,D02,Q1,4516,4516,16,16,,16,Q1,0,0,0,,4500,Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4516,442,0,0,22,240,180,420,441,447,280,51,0,27,20,24,45,448,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2,,,,,56,4,1
2018,010201241,1436.60537147709,P,G2,1,,4,2872.31345958932,G2,G2,G2,G2,G2,6,1,G4,2,C,5,41,G3,1,G1,2,1,G1,G2,G2,G1,G1,Q4,D08,G5,Q5,D09,Q5,,D10,Q4,79011,13911,13911,13911,,4509,Q5,9402,0,0,,0,Q5,65100,62500,50000,12500,0,2600,2500,100,100,0,450,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,250,10000,10000,0,78561,7562,7233,0,329,0,0,0,6361,2764,600,276,600,120,360,84,724,3965,1201,541,510,60,90,0,,,,,,,,,,,,,,,,,,,,,,1,60,300,400,2,,,
2018,010201331,2394.07550459393,P,G1,1,,4,4861.05388662815,G2,G2,G2,G2,G2,6,1,G4,2,J,2,46,G3,1,G1,2,1,G1,G2,G2,G1,G1,Q5,D09,G6,Q5,D10,Q5,,D09,Q5,105752,6502,6502,6502,,1700,Q5,4602,200,0,,0,Q5,99250,99000,44000,43000,12000,250,200,50,50,0,43200,41000,38000,0,38000,0,0,0,0,0,17000,0,0,21000,0,0,0,0,0,0,21000,17000,0,0,38000,0,3000,0,3000,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,2200,1521,150,1371,62552,10867,7197,1369,2301,0,0,0,8441,4570,600,400,2000,250,250,300,770,6996,2426,416,639,0,0,1371,,,,,,,,,,,,,,,,,,,,,,1,60,300,350,2,,,
2018,010201361,2374.35858348047,P,G1,2,,2,4821.01963715397,G2,G2,G2,G2,G1,5,1,G4,2,P,4,65,G5,3,G3,3,3,G3,G1,G2,G1,G3,Q2,D03,G2,Q4,D08,Q3,,D05,Q2,50000,8400,6400,1400,,1400,Q4,0,0,5000,,2000,Q3,41600,37000,0,37000,0,4600,600,4000,1500,2500,30200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,30000,3490,3400,90,19800,2221,0,2000,1,220,0,220,1969,2500,600,120,120,240,240,240,940,2752,252,57,55,0,50,90,,,,,,,,,,,,,,,,,,,,,,1,70,200,300,3,,,
2018,010202191,2450.84035400997,P,G1,1,,4,4977.74338240696,G2,G2,G2,G2,G2,4,1,G3,2,,,53,G4,7,G4,2,1,G1,G2,G1,G1,G1,Q4,D07,G4,Q3,D06,Q3,,D05,Q4,27540,2690,2690,2690,,640,Q3,2050,0,0,,0,Q3,24850,24600,24600,0,0,250,250,0,0,0,10250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,10000,0,0,0,17290,5626,4800,0,826,0,0,0,4846,3792,950,300,1300,50,300,60,832,4572,780,132,498,150,0,0,,,,,,,,,,,,,,,,,,,,,,1,65,220,300,5,,,
2018,010202311,1565.87612742387,P,G1,2,,3,3179.43532715902,G2,G2,G1,G2,G2,4,1,G3,2,M,3,46,G3,1,G1,4,3,G3,G1,G2,G1,G3,Q1,D02,G2,Q1,D01,Q1,,D02,Q1,1657,1657,182,182,,182,Q1,0,0,0,,1475,Q1,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,400,400,0,1607,1100,818,21,21,240,0,240,1011,1646,270,230,420,10,170,216,330,1735,89,4,85,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,70,200,200,4,,,
2018,010203171,1611.08653713674,P,G1,2,,1,3272.17369976629,G1,G2,G2,G2,G2,3,1,G2,1,G,5,70,G5,3,G3,3,1,G1,G3,G1,G1,G1,Q2,D04,G3,Q5,D09,Q5,,D09,Q2,64304,3304,3304,3304,,1000,Q5,2304,0,0,,0,Q5,61000,61000,61000,0,0,0,0,0,0,0,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,0,0,0,61504,3194,0,1200,1609,285,100,385,2984,756,240,108,0,36,12,60,300,966,210,44,166,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,76,100,150,3,,,
