"조사연도","MD제공용_가구고유번호","가중값","수도권여부","가구주_성별코드","가구원수","노인가구여부","조손가구여부","한부모가구여부","다문화가구여부(2012년~)","장애인가구여부(2012년~)","가구주_교육정도_학력코드","가구주_교육정도_수학구분코드","가구주_교육정도_통합코드","가구주_동거여부","가구주_산업대분류코드","가구주_직업대분류코드","가구주_만연령","가구주연령_10세단위코드","가구주_종사상지위코드","가구주_종사상지위(보도용)","가구주_혼인상태코드","입주형태코드","입주형태통합코드","전용면적규모코드","주택종류통합코드","부채보유여부","소득5분위코드(보완)","소득10분위코드(보완)(2017년~)","소득계층구간코드(보도용)(보완)","자산총액5분위코드","자산총액10분위코드","순자산5분위코드","순자산10분위코드","자산","이사여부","자산_금융자산","자산_금융자산_저축금액","자산_금융자산_저축_적립예치식저축금액","자산_금융자산_저축_적립예치식저축_수시적립예치식저축금액","자산_금융자산_저축_적립예치식저축_저축성보장성보험금액","자산_금융자산_저축_적립예치식저축_주식채권펀드금액","자산_금융자산_저축_기타저축금액","자산_금융자산_현거주지전월세보증금","자산_실물자산","자산_실물자산_부동산금액","자산_실물자산_부동산_거주주택금액","자산_실물자산_부동산_거주주택이외부동산금액","자산_실물자산_부동산_계약금중도금납입금액","자산_실물자산_기타실물자산","자산_실물자산_기타실물자산_자동차금액","자산_실물자산_기타실물자산_기타금액","자산_실물자산_기타실물자산_기타_자동차이외기타실물자산","자산_실물자산_기타실물자산_기타_권리금","부채","부채_금융부채","부채_금융부채_담보대출금액","부채_금융부채_담보대출_대출용도_거주주택구입금액","부채_금융부채_담보대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_담보대출_대출용도_전월세보증금마련금액","부채_금융부채_담보대출_대출용도_부채상환금액","부채_금융부채_담보대출_대출용도_사업자금마련금액","부채_금융부채_담보대출_대출용도_생활비마련금액","부채_금융부채_담보대출_대출용도_기타용도금액","부채_금융부채_담보대출_대출기관_은행금액(2010년은 농수협 중앙회 제외)","부채_금융부채_담보대출_대출기관_저축은행금액","부채_금융부채_담보대출_대출기관_비은행금융기관금액(2010년은 농수협중앙회 포함)","부채_금융부채_담보대출_대출기관_보험회사금액","부채_금융부채_담보대출_대출기관_기타기관금액","부채_금융부채_담보대출_상환방법_만기일시금액","부채_금융부채_담보대출_상환방법_원금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_담보대출_상환방법_기타상환방법금액","부채_금융부채_담보대출_담보형태_거주주택금액","부채_금융부채_담보대출_담보형태_거주주택이외부동산금액","부채_금융부채_담보대출_담보형태_예적금보험펀드채권금액","부채_금융부채_담보대출_담보형태_기타금액","부채_금융부채_담보대출_부동산담보대출금액","부채_금융부채_담보대출_부동산이외담보대출금액","부채_금융부채_신용대출금액","부채_금융부채_신용대출_대출용도_거주주택구입금액","부채_금융부채_신용대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_신용대출_대출용도_전월세보증금마련금액","부채_금융부채_신용대출_대출용도_부채상환금액","부채_금융부채_신용대출_대출용도_사업자금마련금액","부채_금융부채_신용대출_대출용도_생활비마련금액","부채_금융부채_신용대출_대출용도_기타용도금액","부채_금융부채_신용대출_대출기관_은행금액(2010년은 농수협 중앙회 제외)","부채_금융부채_신용대출_대출기관_저축은행금액","부채_금융부채_신용대출_대출기관_비은행금융기관금액(2010년은 농수협중앙회 포함)","부채_금융부채_신용대출_대출기관_보험회사금액","부채_금융부채_신용대출_대출기관_기타기관금액","부채_금융부채_신용대출_상환방법_만기일시금액","부채_금융부채_신용대출_상환방법_원금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_신용대출_상환방법_기타상환방법금액","부채_금융부채_신용대출_대출종류_신용대출금액","부채_금융부채_신용대출_대출종류_마이너스통장금액","부채_금융부채_신용카드관련대출금액","부채_금융부채_외상할부미상환금액","부채_금융부채_계탄후불입금액","부채_금융부채_개인직장빌린금액(2017년~)","부채_임대보증금","원리금상환금액","원리금상환_원금상환금액","원리금상환_이자지급금액","순자산","경상소득(보완)","경상소득_근로소득(보완)","경상소득_사업소득(보완)","경상소득_재산소득(보완)","경상소득_공적이전소득(보완)","경상소득_사적이전소득(조사)","이전소득(보완)[공적이전소득(보완)+사적이전소득(조사)]","처분가능소득(보완)[경상소득(보완)-비소비지출(보완)]","지출_소비지출비","지출_소비지출_식료품(외식비포함)","지출_소비지출_주거비","지출_소비지출_교육비(보육료포함)","지출_소비지출_의료비","지출_소비지출_교통비","지출_소비지출_통신비","지출_소비지출_기타소비지출비","지출(보완)[비소비지출(보완)+소비지출(조사)](2012~2018년: 복지, 2019년~:공통)","지출_비소비지출(보완)","지출_비소비지출_세금(보완)","지출_비소비지출_공적연금사회보험료(보완)","지출_비소비지출_가구간이전지출(조사)","지출_비소비지출_비영리단체이전지출(조사)","지출_비소비지출_연간지급이자(조사)","여유자금운용계획코드","금융자산투자운용방법코드","금융자산투자고려사항코드","거주지주택가격전망코드","여유자금부동산투자여부","부동산투자주목적코드","투자선호부동산코드","부동산투자기피사유코드","1년후금융부채규모전망코드","부채증가원인코드","1년전대비부채증감코드","부채상환방법코드","원리금연체여부","원리금연체사유코드","30일이상원리금연체여부","원리금상환_생계부담정도코드","원리금상환_생계부담_소득대비상환액비중","원리금상환_가계지출감소여부","원리금상환_가계지출감소항목코드","부채상환가능시기코드","가구주_은퇴여부","가구주_미은퇴_은퇴연령","가구주_미은퇴_최소생활비","가구주_미은퇴_적정생활비","가구주_미은퇴_노후준비상황코드","가구주_은퇴_은퇴연령","가구주_은퇴_적정생활비충당여부","가구주은퇴_생활비재원마련코드(2014년~)"
2022,010000162,1128.664455071,G1,2,1,G1,G2,G2,G2,G2,2,1,G1,1,T,4,75,G5,2,G2,3,2,G2,G1,G1,G2,Q1,D02,G2,Q1,D02,Q2,D03,5640,2,5640,640,640,400,240,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5640,1386,600,0,21,645,120,765,1385,607,180,56,0,100,10,41,220,608,1,1,0,0,0,0,5,2,4,4,1,6,2,,2,,,,,,,,,,,,1,77,100,200,4,,,
2022,010000182,1077.205267808,G1,1,2,G2,G2,G2,G2,G2,4,1,G3,2,C,5,60,G5,1,G1,2,2,G2,G1,G4,G2,Q2,D03,G3,Q2,D04,Q2,D04,14430,2,13580,3580,3580,3580,0,0,0,10000,850,0,0,0,0,850,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14430,3054,2820,0,165,69,0,69,2666,3050,1800,200,0,200,150,100,600,3438,388,75,313,0,0,0,2,1,2,2,1,1,2,,2,,,,,,,,,,,,1,70,200,200,5,,,
2022,010000192,2635.92387339273,G1,2,1,G2,G2,G2,G2,G2,4,1,G3,1,R,2,29,G1,1,G1,1,3,G3,G1,G1,G1,Q1,D02,G2,Q1,D01,Q1,D02,1290,2,1290,290,290,290,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,310,300,10,1190,1871,1800,0,1,70,0,70,1767,1400,200,700,0,100,100,100,200,1504,104,61,33,0,0,10,1,1,2,4,2,,,3,2,,2,,2,,,2,,1,2,2,1,70,250,300,4,,,
2022,010000212,794.938270935,G2,1,2,G1,G2,G2,G2,G2,4,4,G2,2,,,73,G5,7,G4,2,1,G1,G1,G1,G1,Q2,D03,G2,Q2,D04,Q3,D05,16950,2,10450,10450,10450,10450,0,0,0,0,6500,6500,6500,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,16650,2681,297,0,600,1734,50,1784,2640,1646,600,240,0,180,36,60,530,1687,41,41,0,0,0,0,1,1,2,2,2,,,3,2,,,,,,,,,,,,2,,0,0,,66,3,2
2022,010000222,1170.033267203,G2,1,1,G2,G2,G2,G2,G2,4,1,G3,1,C,9,54,G4,1,G1,1,1,G1,G2,G3,G1,Q2,D04,G3,Q2,D03,Q2,D03,12660,2,5660,5660,5660,60,0,5600,0,0,7000,7000,7000,0,0,0,0,0,0,0,3000,3000,3000,0,0,0,0,0,3000,0,0,0,3000,0,0,3000,0,0,0,0,3000,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3963,3500,463,9660,3205,3098,0,77,30,0,30,2386,1540,480,120,0,500,10,60,370,2359,819,63,271,10,12,463,1,7,2,2,2,,,3,2,,1,2,2,,,1,10,,,1,1,60,150,200,2,,,
2022,010000262,961.751622471,G2,2,2,G1,G2,G2,G2,G2,4,1,G3,2,,,68,G5,7,G4,2,1,G1,G3,G2,G2,Q2,D04,G3,Q4,D08,Q5,D09,81820,2,5320,5320,5320,1820,3500,0,0,0,76500,76000,55000,21000,0,500,0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81820,3125,0,0,235,1889,1001,2890,2942,2303,1200,360,0,240,120,120,263,2486,183,93,0,50,40,0,1,1,2,2,2,,,1,2,,,,,,,,,,,,2,,0,0,,65,3,2
2022,010000272,1468.191599798,G2,1,4,G2,G2,G2,G2,G2,5,1,G4,2,O,3,58,G4,1,G1,2,1,G1,G2,G2,G1,Q5,D10,G6,Q4,D07,Q4,D08,49800,2,10930,10930,10930,3350,7580,0,0,0,38870,37000,37000,0,0,1870,1870,0,0,0,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,49550,14157,13537,380,40,100,100,200,11898,4550,1200,400,50,500,700,400,1300,6809,2259,1570,409,180,100,0,1,1,2,2,2,,,1,2,,2,,2,,,2,,1,3,1,1,61,300,450,3,,,
2022,010000282,1970.499127383,G2,1,5,G2,G2,G2,G2,G2,2,1,G1,2,C,8,61,G5,4,G3,2,1,G1,G2,G2,G1,Q5,D09,G5,Q5,D10,Q5,D09,154985,2,12078,12078,11918,5150,6768,0,160,0,142907,130000,38000,92000,0,12907,5907,7000,2000,5000,74053,74053,72770,0,70000,0,0,0,2770,0,0,70000,0,2770,0,70000,0,2770,0,0,0,70000,2770,0,70000,2770,700,0,0,0,0,700,0,0,700,0,0,0,0,0,0,0,0,700,0,700,0,583,0,0,0,6385,3967,2418,80932,9929,6597,3000,47,225,60,285,6079,4242,1200,276,0,40,360,420,1946,8092,3850,342,940,150,0,2418,3,4,2,1,2,,,1,2,,1,1,2,,,3,,1,3,3,1,75,150,300,5,,,
2022,010000312,2585.993966689,G1,1,5,G2,G2,G2,G2,G2,6,1,G4,2,J,2,52,G4,1,G1,2,1,G1,G2,G2,G2,Q5,D09,G6,Q5,D09,Q5,D09,103630,2,17630,17630,17630,7500,10130,0,0,0,86000,85000,60000,25000,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103630,10695,10074,0,436,185,0,185,9547,3486,1080,300,1600,50,100,156,200,4634,1148,244,834,50,20,0,1,4,1,1,1,3,2,,2,,,,,,,,,,,,1,58,200,250,3,,,
2022,010000332,3347.948071431,G1,2,2,G2,G2,G2,G2,G2,4,1,G3,2,C,8,29,G1,1,G1,2,2,G2,G2,G2,G1,Q5,D09,G6,Q3,D05,Q3,D05,29520,2,25120,7620,7120,280,3240,3600,500,17500,4400,2800,0,0,2800,1600,1500,100,100,0,10000,10000,10000,0,0,0,0,0,0,10000,10000,0,0,0,0,10000,0,0,0,0,0,0,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,3000,200,19520,11174,10290,182,502,200,0,200,8944,1904,720,240,0,60,220,144,520,4134,2230,973,657,400,0,200,1,7,2,3,1,1,1,,3,1,1,3,2,,,2,,1,3,2,1,60,300,500,4,,,
