"조사연도","MD제공용_가구고유번호","가중값","수도권여부","가구주_성별코드","가구원수","노인가구여부","조손가구여부","한부모가구여부","다문화가구여부(2012년~)","보완_등록장애인유무_가구구분코드","가구주_교육정도_학력코드","가구주_교육정도_수학구분코드","가구주_교육정도_통합코드","가구주_동거여부","가구주_산업대분류코드","가구주_직업대분류코드","가구주_만연령","가구주연령_10세단위코드","가구주_종사상지위코드","가구주_종사상지위(보도용)","가구주_혼인상태코드","입주형태코드","입주형태통합코드","전용면적규모코드","주택종류통합코드","부채보유여부","소득5분위코드(보완)","소득10분위코드(보완)(2017년~)","소득계층구간코드(보도용)(보완)","자산총액5분위코드","자산총액10분위코드","순자산5분위코드","순자산10분위코드","이사여부","자산","자산_금융자산","자산_금융자산_저축금액","자산_금융자산_저축_적립예치식저축금액","자산_금융자산_저축_적립예치식저축_수시적립예치식저축금액","자산_금융자산_저축_적립예치식저축_저축성보장성보험금액","자산_금융자산_저축_적립예치식저축_주식채권펀드금액","자산_금융자산_저축_기타저축금액","자산_금융자산_현거주지전월세보증금","자산_실물자산","자산_실물자산_부동산금액","자산_실물자산_부동산_거주주택금액","자산_실물자산_부동산_거주주택이외부동산금액","자산_실물자산_부동산_계약금중도금납입금액","자산_실물자산_기타실물자산","자산_실물자산_기타실물자산_자동차금액","자산_실물자산_기타실물자산_기타금액","자산_실물자산_기타실물자산_기타_자동차이외기타실물자산","자산_실물자산_기타실물자산_기타_권리금","부채","부채_금융부채","부채_금융부채_담보대출금액","부채_금융부채_담보대출_대출용도_거주주택구입금액","부채_금융부채_담보대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_담보대출_대출용도_전월세보증금마련금액","부채_금융부채_담보대출_대출용도_부채상환금액","부채_금융부채_담보대출_대출용도_사업자금마련금액","부채_금융부채_담보대출_대출용도_생활비마련금액","부채_금융부채_담보대출_대출용도_기타용도금액","부채_금융부채_담보대출_대출기관_은행금액(2010년은 농수협 중앙회 제외)","부채_금융부채_담보대출_대출기관_저축은행금액","부채_금융부채_담보대출_대출기관_비은행금융기관금액(2010년은 농수협중앙회 포함)","부채_금융부채_담보대출_대출기관_보험회사금액","부채_금융부채_담보대출_대출기관_기타기관금액","부채_금융부채_담보대출_상환방법_만기일시금액","부채_금융부채_담보대출_상환방법_원금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_담보대출_상환방법_기타상환방법금액","부채_금융부채_담보대출_담보형태_거주주택금액","부채_금융부채_담보대출_담보형태_거주주택이외부동산금액","부채_금융부채_담보대출_담보형태_예적금보험펀드채권금액","부채_금융부채_담보대출_담보형태_기타금액","부채_금융부채_담보대출_부동산담보대출금액","부채_금융부채_담보대출_부동산이외담보대출금액","부채_금융부채_신용대출금액","부채_금융부채_신용대출_대출용도_거주주택구입금액","부채_금융부채_신용대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_신용대출_대출용도_전월세보증금마련금액","부채_금융부채_신용대출_대출용도_부채상환금액","부채_금융부채_신용대출_대출용도_사업자금마련금액","부채_금융부채_신용대출_대출용도_생활비마련금액","부채_금융부채_신용대출_대출용도_기타용도금액","부채_금융부채_신용대출_대출기관_은행금액(2010년은 농수협 중앙회 제외)","부채_금융부채_신용대출_대출기관_저축은행금액","부채_금융부채_신용대출_대출기관_비은행금융기관금액(2010년은 농수협중앙회 포함)","부채_금융부채_신용대출_대출기관_보험회사금액","부채_금융부채_신용대출_대출기관_기타기관금액","부채_금융부채_신용대출_상환방법_만기일시금액","부채_금융부채_신용대출_상환방법_원금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_신용대출_상환방법_기타상환방법금액","부채_금융부채_신용대출_대출종류_신용대출금액","부채_금융부채_신용대출_대출종류_마이너스통장금액","부채_금융부채_신용카드관련대출금액","부채_금융부채_외상할부미상환금액","부채_금융부채_계탄후불입금액","부채_금융부채_개인직장빌린금액(2017년~)","부채_임대보증금","원리금상환금액","원리금상환_원금상환금액","원리금상환_이자지급금액","순자산","경상소득(보완)","경상소득_근로소득(보완)","경상소득_사업소득(보완)","경상소득_재산소득(보완)","경상소득_공적이전소득(보완)","경상소득_사적이전소득(조사)","이전소득(보완)[공적이전소득(보완)+사적이전소득(조사)]","처분가능소득(보완)[경상소득(보완)-비소비지출(보완)]","지출_소비지출비","지출_소비지출_식료품(외식비포함)","지출_소비지출_주거비","지출_소비지출_교육비(보육료포함)","지출_소비지출_의료비","지출_소비지출_교통비","지출_소비지출_통신비","지출_소비지출_기타소비지출비","지출(보완)[비소비지출(보완)+소비지출(조사)](2012~2018년: 복지, 2019년~:공통)","지출_비소비지출(보완)","지출_비소비지출_세금(보완)","지출_비소비지출_공적연금사회보험료(보완)","지출_비소비지출_가구간이전지출(조사)","지출_비소비지출_비영리단체이전지출(조사)","지출_비소비지출_연간지급이자(조사)","여유자금운용계획코드","금융자산투자운용방법코드","금융자산투자고려사항코드","거주지주택가격전망코드","여유자금부동산투자여부","부동산투자주목적코드","투자선호부동산코드","부동산투자기피사유코드","1년후금융부채규모전망코드","부채증가원인코드","1년전대비부채증감코드","부채상환방법코드","원리금연체여부","원리금연체사유코드","30일이상원리금연체여부","원리금상환_생계부담정도코드","원리금상환_생계부담_소득대비상환액비중","원리금상환_가계지출감소여부","원리금상환_가계지출감소항목코드","부채상환가능시기코드","가구주_은퇴여부","가구주_미은퇴_은퇴연령","가구주_미은퇴_최소생활비","가구주_미은퇴_적정생활비","가구주_미은퇴_노후준비상황코드","가구주_은퇴_은퇴연령","가구주_은퇴_적정생활비충당여부","가구주은퇴_생활비재원마련코드(2014년~)"
2023,010000162,1077.906572079,G1,2,1,G1,G2,G2,G2,G2,2,1,G1,1,T,4,76,G5,2,G2,3,2,G2,G1,G1,G2,Q1,D02,G2,Q1,D02,Q2,D03,2,5700,5700,700,700,700,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5700,1655,360,0,14,1161,120,1281,1534,1175,360,155,0,500,10,50,100,1296,121,1,0,0,120,0,1,1,2,3,2,,,4,2,,,,,,,,,,,,1,77,100,200,5,,,
2023,010000182,1086.43854121,G1,1,2,G2,G2,G2,G2,G2,4,1,G3,2,C,5,61,G5,1,G1,2,2,G2,G1,G4,G2,Q2,D03,G2,Q2,D03,Q2,D04,2,13720,13220,3220,3220,3220,0,0,0,10000,500,0,0,0,0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13720,2995,2880,0,88,27,0,27,2570,2790,2000,200,0,100,120,120,250,3215,425,56,369,0,0,0,2,1,2,2,2,,,2,2,,,,,,,,,,,,1,70,200,200,3,,,
2023,010000192,3626.894381884,G1,2,1,G2,G2,G2,G2,G2,4,1,G3,1,R,2,30,G2,1,G1,1,3,G3,G1,G3,G2,Q2,D03,G3,Q1,D01,Q1,D02,2,1410,1410,410,410,410,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,100,10,1410,3001,3000,0,1,0,0,0,2892,1210,200,800,0,10,50,50,100,1319,109,61,38,0,0,10,1,1,1,4,2,,,4,2,,,,,,,,,,,,1,70,300,400,5,,,
2023,010000212,758.167174481,G2,2,1,G1,G2,G2,G2,G2,2,1,G1,1,Q,9,73,G5,2,G2,3,1,G1,G1,G1,G1,Q1,D02,G2,Q2,D04,Q3,D05,2,16800,10300,10300,10300,10300,0,0,0,0,6500,6500,6500,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,16500,1871,324,0,423,764,360,1124,1844,1222,600,222,0,80,72,48,200,1249,27,27,0,0,0,0,1,1,1,2,2,,,4,2,,,,,,,,,,,,1,75,150,200,3,,,
2023,010000222,1404.353474859,G2,1,1,G2,G2,G2,G2,G2,4,1,G3,1,C,9,55,G4,1,G1,1,1,G1,G2,G3,G1,Q2,D04,G3,Q2,D04,Q2,D03,2,17000,11000,11000,11000,1000,0,10000,0,0,6000,6000,6000,0,0,0,0,0,0,0,9000,9000,3000,0,0,0,0,0,0,3000,0,0,3000,0,0,3000,0,0,0,0,3000,0,0,0,3000,0,6000,0,0,0,0,0,0,6000,0,0,0,0,6000,0,0,6000,0,0,6000,0,0,0,0,0,0,178,0,178,8000,3603,3528,0,75,0,0,0,2989,1466,600,96,0,20,30,60,660,2080,614,134,302,0,0,178,5,7,1,1,2,,,5,1,,3,,2,,,1,30,,,2,1,65,200,200,3,,,
2023,010000262,928.191686649,G2,2,2,G1,G2,G2,G2,G2,4,1,G3,2,,,69,G5,7,G4,2,1,G1,G3,G2,G2,Q2,D03,G3,Q4,D08,Q5,D09,2,74588,8088,8088,8088,4240,3848,0,0,0,66500,66000,47000,19000,0,500,0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74588,3015,0,0,170,1885,960,2845,2851,2199,1200,350,0,270,25,84,270,2363,164,84,0,40,40,0,1,1,2,2,2,,,3,2,,,,,,,,,,,,2,,0,0,,65,4,2
2023,010000272,1543.021408898,G2,1,4,G2,G2,G2,G2,G2,5,1,G4,2,O,3,59,G4,1,G1,2,1,G1,G2,G2,G1,Q5,D10,G6,Q4,D07,Q4,D07,2,42610,11560,11560,11560,3800,7760,0,0,0,31050,29000,29000,0,0,2050,2050,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,400,400,0,42560,13929,13352,369,188,20,0,20,11687,4520,1200,420,0,300,720,300,1580,6762,2242,1347,565,170,160,0,1,1,2,2,2,,,1,2,,1,1,2,,,1,25,,,1,1,61,300,400,3,,,
2023,010000282,2233.473799199,G2,1,5,G2,G2,G2,G2,G1,2,1,G1,2,C,8,62,G5,4,G3,2,1,G1,G2,G2,G1,Q5,D09,G6,Q5,D10,Q4,D08,2,142140,11640,11640,11640,4960,6680,0,0,0,130500,119000,29000,90000,0,11500,4500,7000,2000,5000,76270,74770,74070,0,72000,0,0,0,2070,0,72000,0,0,2070,0,72000,0,2070,0,0,0,72000,2070,0,72000,2070,700,0,0,0,0,700,0,0,700,0,0,0,0,0,0,0,0,700,0,700,0,0,0,0,1500,4243,1333,2910,65870,12335,9556,1500,1154,125,0,125,7685,5110,1200,350,0,800,940,420,1400,9760,4650,579,988,80,93,2910,3,1,2,1,2,,,3,1,,1,1,2,,,3,,1,3,1,1,70,150,250,4,,,
2023,010000312,2648.07126064,G1,1,5,G2,G2,G2,G2,G2,6,1,G4,2,J,2,53,G4,1,G1,2,1,G1,G2,G2,G2,Q5,D09,G6,Q5,D09,Q5,D09,2,96250,18450,18450,18450,7700,10750,0,0,0,77800,77000,67000,10000,0,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96250,12005,11903,0,102,0,0,0,10659,4810,2400,420,600,50,360,240,740,6156,1346,388,958,0,0,0,1,2,2,2,2,,,2,2,,,,,,,,,,,,1,60,200,300,3,,,
2023,010000332,4854.753233569,G1,2,2,G2,G2,G2,G2,G1,4,1,G3,2,C,8,30,G2,1,G1,2,1,G1,G2,G3,G1,Q5,D09,G6,Q3,D05,Q2,D04,2,29980,3080,3080,3080,580,0,2500,0,0,26900,25000,25000,0,0,1900,1500,400,400,0,15800,15800,13300,13300,0,0,0,0,0,0,13300,0,0,0,0,0,0,13300,0,0,13300,0,0,0,13300,0,2500,2500,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,2500,0,2500,0,0,0,0,0,0,10200,9200,1000,14180,11134,10907,0,116,111,0,111,8386,2470,1200,500,0,200,100,120,350,5218,2748,1004,744,0,0,1000,3,7,2,2,2,,,3,3,5,3,,2,,,2,,1,4,1,1,60,400,700,5,,,
